Latitude,Longitude,FFMC,DMC,DC,ISI,temp,RH,wind,rain,y
0.00005116,-13.48868190,86.20000000,26.20000000,94.30000000,5.10000000,8.20000000,51,6.70000000,0.00000000,0
0.00004318,-13.48868717,90.60000000,35.40000000,669.10000000,6.70000000,18.00000000,33,0.90000000,0.00000000,0
0.00002855,-13.48867332,90.60000000,43.70000000,686.90000000,6.70000000,14.60000000,33,1.30000000,0.00000000,0
0.00005198,-13.48867062,91.70000000,33.30000000,77.50000000,9.00000000,8.30000000,97,4.00000000,0.20000000,0
0.00006038,-13.48867958,89.30000000,51.30000000,102.20000000,9.60000000,11.40000000,99,1.80000000,0.00000000,0
0.00004506,-13.48866690,92.30000000,85.30000000,488.00000000,14.70000000,22.20000000,29,5.40000000,0.00000000,0
0.00005819,-13.48867327,92.30000000,88.90000000,495.60000000,8.50000000,24.10000000,27,3.10000000,0.00000000,0
0.00006220,-13.48867066,91.50000000,145.40000000,608.20000000,10.70000000,8.00000000,86,2.20000000,0.00000000,0
0.00004865,-13.48866745,91.00000000,129.50000000,692.60000000,7.00000000,13.10000000,63,5.40000000,0.00000000,0
0.00003772,-13.48867686,92.50000000,88.00000000,698.60000000,7.10000000,22.80000000,40,4.00000000,0.00000000,0
0.00005458,-13.48868109,92.50000000,88.00000000,698.60000000,7.10000000,17.80000000,51,7.20000000,0.00000000,0
0.00005062,-13.48868739,92.80000000,73.20000000,713.00000000,22.60000000,19.30000000,38,4.00000000,0.00000000,0
0.00003802,-13.48868673,63.50000000,70.80000000,665.30000000,0.80000000,17.00000000,72,6.70000000,0.00000000,0
0.00005361,-13.48868318,90.90000000,126.50000000,686.50000000,7.00000000,21.30000000,42,2.20000000,0.00000000,0
0.00003551,-13.48868141,92.90000000,133.30000000,699.60000000,9.20000000,26.40000000,21,4.50000000,0.00000000,0
0.00005268,-13.48868815,93.30000000,141.20000000,713.90000000,13.90000000,22.90000000,44,5.40000000,0.00000000,0
0.00004742,-13.48869680,91.70000000,35.80000000,80.80000000,7.80000000,15.10000000,27,5.40000000,0.00000000,0
0.00004985,-13.48866508,84.90000000,32.80000000,664.20000000,3.00000000,16.70000000,47,4.90000000,0.00000000,0
0.00003348,-13.48869994,89.20000000,27.90000000,70.80000000,6.30000000,15.90000000,35,4.00000000,0.00000000,0
0.00003912,-13.48869720,86.30000000,27.40000000,97.10000000,5.10000000,9.30000000,44,4.50000000,0.00000000,0
0.00003343,-13.48869661,91.00000000,129.50000000,692.60000000,7.00000000,18.30000000,40,2.70000000,0.00000000,0
0.00004079,-13.48870060,91.80000000,78.50000000,724.30000000,9.20000000,19.10000000,38,2.70000000,0.00000000,0
0.00004085,-13.48869009,94.30000000,96.30000000,200.00000000,56.10000000,21.00000000,44,4.50000000,0.00000000,0
0.00002770,-13.48868169,90.20000000,110.90000000,537.40000000,6.20000000,19.50000000,43,5.80000000,0.00000000,0
0.00004509,-13.48868330,93.50000000,139.40000000,594.20000000,20.30000000,23.70000000,32,5.80000000,0.00000000,0
0.00004201,-13.48868839,91.40000000,142.40000000,601.40000000,10.60000000,16.30000000,60,5.40000000,0.00000000,0
